,Price,Category,Beds,Baths,Area,Plot_size,Address,Broker,URL
100,"$536,990",House for sale,4,3.5,"2,768sqft
2,768 square feet",,"4368 SW 59th Pl, Gainesville, FL 32608",Built by D.R. Horton - West Central Florida,https://www.realtor.com/realestateandhomes-detail/4368-SW-59th-Pl_Gainesville_FL_32608_M95276-40306
101,"$595,714",House for sale,3,2,"2,014sqft
2,014 square feet",,"4110 Pegasus Way, Naples, FL 34120",Built by Neal Communities,https://www.realtor.com/realestateandhomes-detail/4110-Pegasus-Way_Naples_FL_34120_M92637-19047
102,"$364,413",House for sale,4,3,"2,070sqft
2,070 square feet",,"3104 Kacee Dr, Eagle Lake, FL 33839",Built by Richmond American Homes,https://www.realtor.com/realestateandhomes-detail/3104-Kacee-Dr_Eagle-Lake_FL_33839_M92259-73012
103,"$447,295",Condo for sale,3,2.5,"1,853sqft
1,853 square feet",,"326 Via Anina Dr, Sarasota, FL 34243",Built by M/I Homes,https://www.realtor.com/realestateandhomes-detail/326-Via-Anina-Dr_Sarasota_FL_34243_M92217-35885
104,"$1,496 - $1,797",For Rent - Apartment,1 - 2,1 - 2,"760 - 1,077 square feet",,"Windrift Apartment Homes, 949 Crowsnest Cir, Orlando, FL 32825",,
105,"$1,230",For Rent - House,3,2,"1,411sqft
1,411 square feet",,"3030 SW 14th Ct, Cape Coral, FL 33914",,
106,$899,For Rent - Apartment,4,4,"1,500sqft
1,500 square feet",,"Quad - Student Housing, 10200 University Blvd, Orlando, FL 32817",,
107,$774 - $999,For Rent - Apartment,2 - 4,2 - 4,"886 - 1,547 square feet",,"Campus Circle Student Housing, 1742 SW 38th Ter, Gainesville, FL 32607",,
108,"$2,379 - $4,508",For Rent - Apartment,Studio - 3,,"588 - 1,376 square feet",,"10X Riverwalk (4 West Las Olas), 4 W Las Olas Blvd, Fort Lauderdale, FL 33301",,
109,,,,,,,", ",,
110,,,,,,,", ",,
111,,,,,,,", ",,
112,,,,,,,,,
113,,,,,,,,,
114,,,,,,,,,
115,,,,,,,,,
116,,,,,,,,,
117,,,,,,,,,
118,,,,,,,,,
119,,,,,,,,,
120,,,,,,,,,
121,,,,,,,,,
122,,,,,,,,,
123,,,,,,,,,
124,"$439,999",Condo for sale,3,2.5,"1,706sqft
1,706 square feet",,"1848 Prop Ln, Sarasota, FL 34240",Built by M/I Homes,https://www.realtor.com/realestateandhomes-detail/1848-Prop-Ln_Sarasota_FL_34240_M92414-70547
125,"$273,900",House for sale,3,2,"1,398sqft
1,398 square feet",,"6615 Kettles St, Panama City, FL 32404",Built by D.R. Horton - Panama City East,https://www.realtor.com/realestateandhomes-detail/6615-Kettles-St_Panama-City_FL_32404_M91671-01692
126,"$699,990",House for sale,5,4,"3,316sqft
3,316 square feet",,"10710 New Morning Dr, Tampa, FL 33647",Built by M/I Homes,https://www.realtor.com/realestateandhomes-detail/10710-New-Morning-Dr_Tampa_FL_33647_M92366-16804
127,"$570,245",House for sale,5,3,"2,800sqft
2,800 square feet",,"1446 Maddie Berry Ln, Kissimmee, FL 34744",Built by Richmond American Homes,https://www.realtor.com/realestateandhomes-detail/1446-Maddie-Berry-Ln_Kissimmee_FL_34744_M92319-55061
128,"$429,990",Condo for sale,3,2.5,"1,729sqft
1,729 square feet",,"4647 Campsite Loop, Orlando, FL 32824",Built by M/I Homes,https://www.realtor.com/realestateandhomes-detail/4647-Campsite-Loop_Orlando_FL_32824_M93129-70167
129,"$466,604",House for sale,4,2.5,"2,356sqft
2,356 square feet",,"1976 Heart Lake Dr, Groveland, FL 34737",Built by Trinity Family Builders,https://www.realtor.com/realestateandhomes-detail/1976-Heart-Lake-Dr_Groveland_FL_34737_M94120-29689
130,"$319,999",Condo for sale,3,2.5,"1,588sqft
1,588 square feet",,"5443 Tripoli Dr, Palmetto, FL 34221",Built by M/I Homes,https://www.realtor.com/realestateandhomes-detail/5443-Tripoli-Dr_Palmetto_FL_34221_M92947-25528
